Subject Area,Catalogue Number,Instructor Name,Total Enrolled,Average Grade (GPA),Std Dev (GPA)
ANTHRO ,197     ,"ACABADO, STEPHEN B",198.0,4.0,0.0
MATH   ,33B     ,"ACEVES SANCHEZ, PEDRO",183.0,3.6377049180327865,0.669270200629927
MATH   ,151A    ,"ACEVES SANCHEZ, PEDRO",67.0,3.397014925373134,0.881987265832487
MATH   ,135     ,"ACEVES SANCHEZ, PEDRO",35.0,3.2657142857142856,0.8697923749437012
MATH   ,134     ,"ACEVES SANCHEZ, PEDRO",99.0,3.1959595959595957,0.9138573139646613
SWAHILI,1       ,"ACHESAH, SEPHRINE A",26.0,3.6538461538461537,0.855853496283442
SWAHILI,2       ,"ACHESAH, SEPHRINE A",40.0,3.7525,0.47905505946602844
SWAHILI,3       ,"ACHESAH, SEPHRINE A",31.0,3.570967741935484,0.651149627711707
ANTHRO ,136M    ,"ACIKSOZ, SALIH CAN",163.0,3.9355828220858897,0.30248074148402065
ANTHRO ,3       ,"ACIKSOZ, SALIH CAN",580.0,3.7794827586206896,0.577518240983133
ANTHRO ,149     ,"ACIKSOZ, SALIH CAN",297.0,3.787878787878788,0.6302593224938842
ECON   ,101     ,"ACKERMAN, CHRISTOPHER S",56.0,2.6339285714285716,1.1329917389867612
WL ARTS,160     ,"ADAME, JOCELYN PAULA",13.0,3.8076923076923075,0.2730498361430592
THEATER,72      ,"ADAMS, DOLANN MARIE",157.0,3.951592356687897,0.17324372417798423
THEATER,50      ,"ADAMS, DOLANN MARIE",97.0,3.9360824742268035,0.19540366203361248
PSYCH  ,276     ,"ADELMAN, HOWARD S",11.0,3.909090909090909,0.28747978728803447
PSYCH  ,132B    ,"ADELMAN, HOWARD S",70.0,3.9128571428571424,0.2419689641086987
PSYCH  ,132A    ,"ADELMAN, HOWARD S",421.0,3.404275534441805,0.5938967176657639
AF AMER,M9A     ,"ADHANOM, ABRAHAM K",10.0,3.94,0.11999999999999993
AF AMER,M8A     ,"ADHANOM, ABRAHAM K",10.0,4.0,0.0
NEUROSC,M101C   ,"ADHIKARI, AVISHEK",365.0,3.291780821917808,0.8645774048327135
PSYCH  ,115     ,"ADHIKARI, AVISHEK",1946.0,3.480935251798561,0.7673189459212144
PSYCH  ,119E    ,"ADHIKARI, AVISHEK",40.0,3.1849999999999996,1.0108288678109663
MATH   ,31A     ,"ADKISSON, WILLIAM",200.0,3.5700000000000007,0.8925245094673872
MATH   ,115A    ,"ADKISSON, WILLIAM",28.0,3.1571428571428575,0.9363411204670822
MATH   ,114L    ,"ADKISSON, WILLIAM",23.0,2.8130434782608695,1.1490276977878096
MATH   ,182     ,"ADKISSON, WILLIAM",31.0,3.1225806451612903,0.7395332780225712
ETHNMUS,161M    ,"ADLER, SUPEENA INSEE",124.0,3.9943548387096777,0.06260786737489189
ETHNMUS,292A    ,"ADLER, SUPEENA INSEE",13.0,3.6923076923076925,1.065877420042386
ETHNMUS,91Z     ,"ADLER, SUPEENA INSEE",29.0,4.0,0.0
I M STD,155     ,"AGADJANIAN, VICTOR",46.0,3.7043478260869573,0.5606504459066042
GLB HLT,191     ,"AGADJANIAN, VICTOR",43.0,3.4697674418604647,0.9617171860358489
SOCIOL ,216A    ,"AGADJANIAN, VICTOR",13.0,4.0,0.0
SOCIOL ,236A    ,"AGADJANIAN, VICTOR",19.0,4.0,0.0
PBMED  ,203     ,"AGAZARYAN, NZHDE",22.0,4.0,0.0
LAW    ,666     ,"AGGARWAL, NIKITA",18.0,3.4833333333333334,0.6057593948462082
GEOG   ,4       ,"AGNEW, JOHN A",282.0,3.4659574468085106,0.7127839523503829
GEOG   ,174A    ,"AGNEW, JOHN A",206.0,3.3398058252427183,0.849596112590667
GEOG   ,173A    ,"AGNEW, JOHN A",219.0,3.735616438356164,0.47629751542507553
GEOG   ,240     ,"AGNEW, JOHN A",10.0,4.0,0.0
MOL BIO,255     ,"AGUIAR VALLIM, ELIZABETH JOANNA",62.0,3.9838709677419355,0.12597176896623635
EE BIOL,200A    ,"AGUILLON, STEPFANIE",21.0,4.0,0.0
LIFESCI,7B      ,"AGUILLON, STEPFANIE",381.0,3.5362204724409447,0.5433447436453407
C&EE   ,148     ,"AHLBERG, ERIC",41.0,3.034146341463414,0.9799476730921964
C&EE   ,135L    ,"AHLBERG, ERIC",150.0,3.8279999999999994,0.2764344406907359
C&EE   ,108L    ,"AHLBERG, ERIC",89.0,3.8191011235955052,0.27391313496135145
HLT ADM,401     ,"AHLUWALIA, SANGEETA C",184.0,3.8315217391304346,0.528210545106961
HLT POL,200B    ,"AHLUWALIA, SANGEETA C",43.0,3.7860465116279074,0.3837279773841961
EC ENGR,221B    ,"AHMADI, ELAHEH",16.0,3.69375,0.4293436123898899
EC ENGR,221A    ,"AHMADI, ELAHEH",31.0,3.690322580645161,0.3531926630495741
MGMTEX ,410     ,"AHMADI, REZA H",51.0,3.558823529411764,0.4525208133392213
MGMT   ,407     ,"AHMADI, REZA H",403.0,3.5585607940446655,0.4243750777341323
FILM TV,154     ,"AHMED, IMTIAZ",86.0,3.9779069767441864,0.09693100254124384
EC ENGR,279AS   ,"AIELLO, CLARICE DEMARCHI",11.0,3.8818181818181823,0.2917601188342039
EC ENGR,128     ,"AIELLO, CLARICE DEMARCHI",98.0,3.823469387755101,0.36021564414580926
EC ENGR,123A    ,"AIELLO, CLARICE DEMARCHI",65.0,3.855384615384615,0.3229816709401845
SCAND  ,60W     ,"AJAY, ARKESH",18.0,3.9833333333333334,0.06871842709362763
PUB PLC,298D    ,"AKEE, RANDALL K",20.0,3.94,0.11999999999999993
PUB PLC,298C    ,"AKEE, RANDALL K",20.0,3.7700000000000005,0.37960505792204613
PUB AFF,111     ,"AKEE, RANDALL K",46.0,3.8543478260869564,0.21639991334396164
C&EE   ,223     ,"AKIN, IDIL DENIZ",20.0,3.4199999999999995,1.1749893616539684
C&EE   ,298     ,"AKIN, IDIL DENIZ",11.0,3.1181818181818177,0.5271159641572445
C&EE   ,120L    ,"AKIN, IDIL DENIZ",18.0,3.6500000000000004,0.5890199015690764
PHYSCI ,M180B   ,"AKIN, ORKUN",10.0,3.4400000000000004,0.42473521163190603
MCD BIO,M175B   ,"AKIN, ORKUN",10.0,3.17,0.6914477565225012
PHYSCI ,187A    ,"AKIN, ORKUN",45.0,4.0,0.0
NEUROSC,M101B   ,"AKIN, ORKUN",782.0,3.4374680306905367,0.6609225772131216
LATIN  ,1       ,"AKIYAMA-KIM, JASMINE ANGELICA",22.0,3.590909090909091,0.7656898796089296
LATIN  ,2       ,"AKIYAMA-KIM, JASMINE ANGELICA",8.0,3.6625,0.44423389109792155
ETHNMUS,91E     ,"AKOTUAH, FRANCIS KOFI",96.0,3.9375,0.1672386020032456
ARABIC ,1C      ,"AL RIFAE, KINDA A",84.0,3.825,0.42197805178762104
ARABIC ,115     ,"AL RIFAE, KINDA A",63.0,3.963492063492063,0.13604572912518173
ARABIC ,117     ,"AL RIFAE, KINDA A",10.0,4.0,0.0
ARABIC ,1A      ,"AL RIFAE, KINDA A",102.0,3.86764705882353,0.402726434834962
ARABIC ,177     ,"AL RIFAE, KINDA A",18.0,3.9444444444444446,0.17069212773041353
ARABIC ,1B      ,"AL RIFAE, KINDA A",98.0,3.7591836734693875,0.6431486219665918
EDUC   ,420A    ,"ALARCON, RAUL",53.0,3.994339622641509,0.04081756160902627
LAW    ,460     ,"ALBEN, ALEXANDER",29.0,3.875862068965517,0.14775369162502439
LAW    ,117     ,"ALBEN, ALEXANDER",36.0,3.7222222222222223,0.30922044555723877
MIMG   ,132     ,"ALBER, FRANK U",191.0,3.078534031413612,0.7968589827382626
EDUC   ,320A    ,"ALBER, REBECCA L",75.0,3.942666666666666,0.20602480972499945
EDUC   ,405A    ,"ALBER, REBECCA L",21.0,4.0,0.0
EDUC   ,405B    ,"ALBER, REBECCA L",20.0,3.9850000000000003,0.06538348415311006
EDUC   ,420A    ,"ALBER, REBECCA L",50.0,3.856,0.23677837739117993
EDUC   ,405C    ,"ALBER, REBECCA L",20.0,4.0,0.0
EDUC   ,498A    ,"ALBER, REBECCA L",49.0,4.0,0.0
EDUC   ,498C    ,"ALBER, REBECCA L",50.0,4.0,0.0
EDUC   ,491     ,"ALBER, REBECCA L",53.0,4.0,0.0
EDUC   ,490A    ,"ALBER, REBECCA L",49.0,3.838775510204081,0.34274779597416505
EDUC   ,498B    ,"ALBER, REBECCA L",50.0,4.0,0.0
EDUC   ,320B    ,"ALBER, REBECCA L",64.0,3.9578124999999997,0.10429029122478271
DGT HUM,101     ,"ALBREZZI, FRANCESCA MOLLY",326.0,3.8966257668711655,0.3038923785503288
DGT HUM,195     ,"ALBREZZI, FRANCESCA MOLLY",12.0,4.0,0.0
DGT HUM,150     ,"ALBREZZI, FRANCESCA MOLLY",35.0,3.917142857142857,0.25126618132480744
MGMT   ,298D    ,"ALDERTON, DEREK J",270.0,3.6540740740740736,0.35029362560951804
MGMT   ,295A    ,"ALDERTON, DEREK J",210.0,3.57,0.37123346524025247
MGMT   ,240E    ,"ALDERTON, DEREK J",123.0,3.573170731707317,0.3812843444707493
MGMT   ,295D    ,"ALDERTON, DEREK J",62.0,3.6048387096774195,0.3414520319378172
HIST   ,180A    ,"ALEXANDER, AMIR",166.0,3.6602409638554216,0.5763281693652413
HNRS   ,78      ,"ALEXANDER, AMIR",108.0,3.9194444444444447,0.17130130122818427
HIST   ,3A      ,"ALEXANDER, AMIR",632.0,3.766930379746835,0.518332960985658
HIST   ,3D      ,"ALEXANDER, AMIR",157.0,3.780891719745223,0.45778944871871935
HNRS   ,105     ,"ALEXANDER, CHARLES JOSEPH",80.0,3.9924999999999997,0.04683748498798796
COMPTNG,10A     ,"ALEXANDR, YULIA",152.0,3.0335526315789476,0.9624491838224205
COMPTNG,16A     ,"ALEXANDR, YULIA",47.0,3.2638297872340423,0.6628197444108057
COMPTNG,10B     ,"ALEXANDR, YULIA",67.0,3.1223880597014926,0.8834837581428452
CHEM   ,C126A   ,"ALEXANDROVA, ANASTASSIA N",36.0,3.6694444444444443,0.7615114518889553
CHEM   ,C226A   ,"ALEXANDROVA, ANASTASSIA N",36.0,3.7999999999999994,0.3590109871423003
EE BIOL,200B    ,"ALFARO, MICHAEL EDWARD",44.0,4.0,0.0
EE BIOL,C174    ,"ALFARO, MICHAEL EDWARD",14.0,3.7214285714285715,0.6201135511553756
EE BIOL,187     ,"ALFARO, MICHAEL EDWARD",20.0,3.935,0.17109938632268673
MOL BIO,254D    ,"ALI, IBRAHEEM IRFAN",62.0,3.9596774193548385,0.12242137360739304
CLUSTER,M27CW   ,"ALI, MOHSIN MALIK",17.0,3.923529411764706,0.18320484120467576
CLUSTER,M27A    ,"ALI, MOHSIN MALIK",113.0,3.7469026548672564,0.6687818534582675
CLUSTER,M27B    ,"ALI, MOHSIN MALIK",101.0,3.90990099009901,0.4149448133400773
ANTHRO ,4       ,"ALIM, H SAMY",1593.0,3.8661644695543007,0.4247123504305846
ANTHRO ,159     ,"ALIM, H SAMY",60.0,4.0,0.0
EDUC   ,165     ,"ALKIN, MARVIN C",58.0,3.7275862068965524,0.5504835189516
SOC GEN,105B    ,"ALLARD, PATRICK",482.0,3.95746887966805,0.2716864193188782
SOC GEN,141     ,"ALLARD, PATRICK",118.0,3.9415254237288133,0.178660871431751
SOC GEN,180     ,"ALLARD, PATRICK",54.0,3.738888888888889,0.6165665584408989
SOC GEN,195CE   ,"ALLARD, PATRICK",49.0,3.9020408163265303,0.24031424658046738
MIMG   ,CM156   ,"ALLAYEE, HOOMAN",58.0,3.0103448275862066,0.8281032867388758
MCD BIO,CM156   ,"ALLAYEE, HOOMAN",76.0,3.235526315789474,0.8400664051710156
EDUC   ,263     ,"ALLEN, WALTER",23.0,4.0,0.0
EDUC   ,299B    ,"ALLEN, WALTER",12.0,4.0,0.0
AF AMER,184A    ,"ALLEN, WALTER",30.0,3.98,0.07483314773547878
AF AMER,184C    ,"ALLEN, WALTER",28.0,4.0,0.0
AF AMER,184B    ,"ALLEN, WALTER",29.0,4.0,0.0
AERO ST,140B    ,"ALLISON, MAE-LI A",13.0,4.0,0.0
AERO ST,140A    ,"ALLISON, MAE-LI A",13.0,3.853846153846154,0.2762813076318149
AERO ST,140C    ,"ALLISON, MAE-LI A",14.0,3.957142857142857,0.1049781318335647
ENGL   ,M138    ,"ALLMENDINGER, BLAKE",14.0,3.75,0.2872281323269014
ENGL   ,110V    ,"ALLMENDINGER, BLAKE",18.0,3.811111111111112,0.19116278371205833
ENGL   ,184     ,"ALLMENDINGER, BLAKE",14.0,3.057142857142857,0.9363411204670822
ENGL   ,115D    ,"ALLMENDINGER, BLAKE",128.0,3.5210937500000004,0.5914299863136274
ENGL   ,117     ,"ALLMENDINGER, BLAKE",86.0,3.2906976744186047,0.809913562280991
ENGL   ,133     ,"ALLMENDINGER, BLAKE",10.0,3.17,1.1489560478973946
CCAS   ,89      ,"ALMA, KARINA",15.0,3.8866666666666663,0.294089933334837
CCAS   ,10A     ,"ALMA, KARINA",612.0,3.8990196078431376,0.4496538461026202
CCAS   ,153C    ,"ALMA, KARINA",123.0,3.9178861788617887,0.356366605866004
CCAS   ,191     ,"ALMA, KARINA",40.0,3.7825,0.7841834925577048
CCAS   ,20      ,"ALMA, KARINA",104.0,3.827884615384615,0.4594011006754066
CCAS   ,217     ,"ALMA, KARINA",16.0,4.0,0.0
CCAS   ,291     ,"ALMA, KARINA",19.0,4.0,0.0
CCAS   ,153D    ,"ALMA, KARINA",120.0,3.824166666666667,0.6751537890650463
STATS  ,425     ,"ALMOHALWAS, AKRAM M",56.0,3.819642857142857,0.5823044254318792
STATS  ,13      ,"ALMOHALWAS, AKRAM M",538.0,3.288847583643123,0.9985799261764492
STATS  ,101C    ,"ALMOHALWAS, AKRAM M",514.0,3.6873540856031126,0.5153061904869036
STATS  ,133     ,"ALMOHALWAS, AKRAM M",69.0,3.7884057971014498,0.5347452954266044
STATS  ,101B    ,"ALMOHALWAS, AKRAM M",690.0,3.529565217391303,0.709742624880864
STATS  ,101A    ,"ALMOHALWAS, AKRAM M",184.0,3.4054347826086957,0.8719498552637749
STATS  ,10      ,"ALMOHALWAS, AKRAM M",286.0,3.0244755244755246,1.0367861034109802
EC ENGR,113     ,"ALWAN, ABEER A",266.0,3.289473684210526,0.7138546384217174
EC ENGR,214B    ,"ALWAN, ABEER A",31.0,3.9387096774193546,0.1538273421621466
EC ENGR,M214A   ,"ALWAN, ABEER A",180.0,3.598333333333333,0.45879976266583034
EDUC   ,92F     ,"AMAH, IFEOMA ANN",581.0,3.879518072289156,0.5239303751162302
MECH&AE,105D    ,"AMAR, RAVNESH C",82.0,3.180487804878049,0.7516549260798199
MECH&AE,105A    ,"AMAR, RAVNESH C",1195.0,3.22928870292887,0.6852265883049745
MECH&AE,133A    ,"AMAR, RAVNESH C",84.0,3.4690476190476187,0.546193797474022
EE BIOL,297     ,"AMARASEKARE, PRIYANGA A",9.0,4.0,0.0
AM IND ,M10     ,"AMBO, THERESA JEAN",78.0,3.8615384615384616,0.5038901918511483
STATS  ,100C    ,"AMINI, ARASH ALI",111.0,3.4855855855855857,0.6134890392123288
STATS  ,C161    ,"AMINI, ARASH ALI",50.0,3.82,0.48373546489791297
STATS  ,200B    ,"AMINI, ARASH ALI",90.0,3.7244444444444444,0.5323555852396051
STATS  ,C261    ,"AMINI, ARASH ALI",12.0,3.6333333333333333,0.6032320356951286
EDUC   ,472     ,"AMLANI, ARIF M",105.0,3.8495238095238093,0.3521698209194534
ARCH&UD,289     ,"AMUNATEGUI, CRISTOBAL",178.0,3.8022471910112356,0.25549138734791726
ARCH&UD,132     ,"AMUNATEGUI, CRISTOBAL",103.0,3.7699029126213586,0.597378569771786
NURSING,231     ,"AN, DONG SUNG",291.0,3.9405498281786944,0.1709234271944253
MUSC   ,C485E   ,"AN, JI YOUNG",51.0,4.0,0.0
MUSC   ,C175E   ,"AN, JI YOUNG",307.0,4.0,0.0
LAW    ,115     ,"ANABTAWI, IMAN",87.0,3.962068965517241,0.09970229168828243
LAW    ,744     ,"ANABTAWI, IMAN",94.0,3.8691489361702125,0.2212280020292345
LAW    ,606     ,"ANABTAWI, IMAN",47.0,3.9936170212765956,0.0432914679773953
CCAS   ,M128    ,"ANDALON, RICHARD",262.0,3.877099236641221,0.3690435100221837
SOCIOL ,171     ,"ANDALON, RICHARD",364.0,3.7552197802197798,0.46243527143599633
SOCIOL ,172     ,"ANDALON, RICHARD",477.0,3.7329140461215937,0.6188737479343998
SOCIOL ,20      ,"ANDALON, RICHARD",120.0,3.6966666666666668,0.6441963123838019
CCAS   ,M129    ,"ANDALON, RICHARD",13.0,3.976923076923077,0.0799408065031789
CCAS   ,M102    ,"ANDALON, RICHARD",36.0,3.8527777777777774,0.33622587572370577
SOCIOL ,131     ,"ANDALON, RICHARD",464.0,3.7771551724137935,0.4138700987993004
EDUC   ,M102    ,"ANDALON, RICHARD",33.0,3.696969696969697,0.7891248887158593
PSYCH  ,133F    ,"ANDALON, RICHARD",68.0,3.7529411764705882,0.8273754728116979
EDUC   ,M108    ,"ANDALON, RICHARD",105.0,3.7161904761904765,0.7478380025142712
LBR STD,M128    ,"ANDALON, RICHARD",52.0,3.8461538461538463,0.43697453651457785
EDUC   ,160     ,"ANDALON, RICHARD",19.0,3.9473684210526314,0.166602018856257
CCAS   ,149     ,"ANDALON, RICHARD",285.0,3.883157894736842,0.2884876347785625
PSYCH  ,135     ,"ANDALON, RICHARD",69.0,3.753623188405797,0.7153755900396774
SOCIOL ,M175    ,"ANDALON, RICHARD",540.0,3.724259259259259,0.5900599525467317
CCAS   ,129     ,"ANDALON, RICHARD",61.0,4.0,0.0
CCAS   ,123     ,"ANDALON, RICHARD",35.0,3.6885714285714286,0.5290268308461321
CCAS   ,120     ,"ANDALON, RICHARD",389.0,3.84293059125964,0.3946722929631777
CCAS   ,165     ,"ANDALON, RICHARD",113.0,3.870796460176991,0.4216867553451108
MATH   ,269A    ,"ANDERSON, CHRISTOPHER R",24.0,3.783333333333333,0.34237730973623565
MATH   ,270C    ,"ANDERSON, CHRISTOPHER R",10.0,3.94,0.11999999999999993
MATH   ,151A    ,"ANDERSON, CHRISTOPHER R",34.0,3.182352941176471,0.7770496949189946
MATH   ,269B    ,"ANDERSON, CHRISTOPHER R",24.0,3.8791666666666664,0.24996527536617738
MATH   ,151B    ,"ANDERSON, CHRISTOPHER R",57.0,3.091228070175439,1.0830886150191013
CHEM   ,14C     ,"ANDERSON, MACKENZIE BABETTA",2081.0,3.356559346468044,0.8149058739113842
POL SCI,128B    ,"ANDERSON, RICHARD D",48.0,3.4770833333333333,0.5389958191447829
POL SCI,163B    ,"ANDERSON, RICHARD D",119.0,3.463865546218488,0.8580543843253735
POL SCI,163B    ,"ANDERSON, RICHARD D, JR",119.0,3.486554621848739,0.4944947968981178
POL SCI,163A    ,"ANDERSON, RICHARD D, JR",62.0,3.4370967741935488,0.9146185298532304
POL SCI,128B    ,"ANDERSON, RICHARD D, JR",53.0,3.4566037735849053,0.9002115965018037
FILM TV,109     ,"ANDERSON, STEVEN FRANKLIN",70.0,3.8142857142857145,0.5986379097073418
FILM TV,108     ,"ANDERSON, STEVEN FRANKLIN",213.0,3.5784037558685444,0.8754895539336414
FILM TV,51      ,"ANDERSON, STEVEN FRANKLIN",111.0,3.78018018018018,0.6034166713364939
FILM TV,209A    ,"ANDERSON, STEVEN FRANKLIN",12.0,3.525,0.4437059837324712
FILM TV,205     ,"ANDERSON, STEVEN FRANKLIN",10.0,4.0,0.0
SOCIOL ,1       ,"ANDERSON, TERRI L",591.0,3.5661590524534685,0.8812611915494077
SOCIOL ,M148    ,"ANDERSON, TERRI L",235.0,2.441276595744681,1.4182242673255048
SOCIOL ,128     ,"ANDERSON, TERRI L",273.0,2.7252747252747254,1.3895417912849863
SOCIOL ,130     ,"ANDERSON, TERRI L",375.0,3.1928,0.8753065139328813
DIS STD,M148    ,"ANDERSON, TERRI L",53.0,2.70188679245283,1.4452904083756117
HNRS   ,109     ,"ANDERSON, TERRI L",77.0,3.754545454545454,0.537803482320654
HNRS   ,136     ,"ANDERSON, TERRI L",72.0,3.8472222222222223,0.4864760534880252
HNRS   ,164     ,"ANDERSON, TERRI L",92.0,3.652173913043478,0.8903441275183587
SOCIOL ,135     ,"ANDERSON, TERRI L",531.0,3.214877589453861,0.9755895094012131
LAW    ,108B    ,"ANDRE, SARAH ERICKSON",48.0,3.5395833333333333,0.3729050277513328
COMPTNG,10B     ,"ANDREWS, MICHAEL JOSEPH",165.0,3.337575757575757,0.8474097084396423
COMPTNG,10A     ,"ANDREWS, MICHAEL JOSEPH",219.0,3.2931506849315064,0.935791916795944
MATH   ,280     ,"ANDREWS, MICHAEL JOSEPH",12.0,3.9499999999999997,0.11180339887498941
COMPTNG,10C     ,"ANDREWS, MICHAEL JOSEPH",26.0,2.869230769230769,0.8861191232513358
COMPTNG,40A     ,"ANDREWS, MICHAEL JOSEPH",78.0,3.532051282051282,0.7638454652650946
COMPTNG,20A     ,"ANDREWS, MICHAEL JOSEPH",90.0,3.13,0.8837357573895541
GENDER ,138     ,"ANESI, JULIANN T",21.0,3.9285714285714284,0.1277753129999879
GENDER ,187     ,"ANESI, JULIANN T",15.0,3.8466666666666667,0.49915484126226356
GENDER ,201     ,"ANESI, JULIANN T",11.0,4.0,0.0
CLUSTER,73B     ,"ANESI, JULIANN T",346.0,3.7303468208092485,0.5091968014486145
GENDER ,152     ,"ANESI, JULIANN T",20.0,3.7700000000000005,0.8695401083331349
GENDER ,185     ,"ANESI, JULIANN T",70.0,4.0,0.0
GENDER ,104     ,"ANESI, JULIANN T",146.0,3.833561643835616,0.3733002385719111
PUB AFF,174     ,"ANHEIER, HELMUT K",87.0,3.7160919540229886,0.5396622109146473
PUB AFF,170     ,"ANHEIER, HELMUT K",111.0,3.6540540540540545,0.7275509683125806
PUB PLC,298D    ,"ANHEIER, HELMUT K",10.0,3.91,0.13747727084867511
PUB PLC,298C    ,"ANHEIER, HELMUT K",10.0,3.94,0.11999999999999993
PUB AFF,50      ,"ANHEIER, HELMUT K",35.0,3.7285714285714286,0.725680539147881
INTL DV,1       ,"ANJUM, ERICA",202.0,3.7900990099009895,0.5087365344499727
PSYCH  ,131     ,"ANKOWSKI, AMBER NICOLE",64.0,3.8734374999999996,0.21954654083758643
PSYCH  ,133C    ,"ANKOWSKI, AMBER NICOLE",922.0,3.6268980477223427,0.6328266378693743
PSYCH  ,133B    ,"ANKOWSKI, AMBER NICOLE",900.0,3.8254444444444444,0.4142829444047768
PSYCH  ,10      ,"ANKOWSKI, AMBER NICOLE",2194.0,3.2134913400182317,0.8931779976191364
PSYCH  ,188B    ,"ANKOWSKI, AMBER NICOLE",200.0,3.7039999999999997,0.3816857346037444
PSYCH  ,100B    ,"ANKOWSKI, AMBER NICOLE",1512.0,3.5333994708994707,0.640706520736293
CH ENGR,C124    ,"ANNABI, NASIM",23.0,3.782608695652174,0.3115908324725029
CH ENGR,C125    ,"ANNABI, NASIM",98.0,3.5877551020408167,0.4163165264904472
CH ENGR,C115    ,"ANNABI, NASIM",121.0,3.6776859504132227,0.4113046373172107
LAW    ,481     ,"ANSCHELL, JONATHAN HOWARD",58.0,3.5879310344827586,0.38822211301890175
GEOG   ,2       ,"ANTELL, GAWAIN",49.0,3.2387755102040816,0.9358650536182679
GEOG   ,191     ,"ANTELL, GAWAIN",30.0,3.676666666666667,0.4424803824904432
ANTHRO ,596     ,"APPEL, HANNAH C",8.0,4.0,0.0
GLBL ST,145     ,"APPEL, HANNAH C",68.0,3.8308823529411766,0.5383136394282274
GLBL ST,104     ,"APPEL, HANNAH C",293.0,3.948122866894198,0.2972655101732097
ANTHRO ,283     ,"APPEL, HANNAH C",29.0,4.0,0.0
INTL DV,1       ,"APPEL, HANNAH C",658.0,3.8974164133738602,0.4175584117315861
