ENROLLMENT TERM,SUBJECT AREA,CATLG NBR,SECT NBR,GRD OFF,GRD COUNT,ENRL TOT,INSTR NAME,INSTR CD,LONG CRSE TITLE,ENROL TERM SEQ NBR,INTL CATL,INTL SECT,CREATION DATE,ROWNO
22F,A&O SCI,1L      ,1     ,A+ ,9,16,"BIANCHI, DANIELE",01,Climate Change: From Puzzles to Policy--Laboratory,270,0001L   , 001  ,Aug 16 2023 12:50PM,1
22F,A&O SCI,1L      ,1     ,A  ,3,16,"BIANCHI, DANIELE",01,Climate Change: From Puzzles to Policy--Laboratory,270,0001L   , 001  ,Aug 16 2023 12:50PM,1
22F,A&O SCI,1L      ,1     ,A- ,1,16,"BIANCHI, DANIELE",01,Climate Change: From Puzzles to Policy--Laboratory,270,0001L   , 001  ,Aug 16 2023 12:50PM,1
22F,A&O SCI,1L      ,1     ,B+ ,2,16,"BIANCHI, DANIELE",01,Climate Change: From Puzzles to Policy--Laboratory,270,0001L   , 001  ,Aug 16 2023 12:50PM,1
22F,A&O SCI,1L      ,1     ,F  ,1,16,"BIANCHI, DANIELE",01,Climate Change: From Puzzles to Policy--Laboratory,270,0001L   , 001  ,Aug 16 2023 12:50PM,1
22F,A&O SCI,2       ,1     ,A+ ,184,261,"LI, QINBIN",01,Air Pollution,270,0002    , 001  ,Aug 16 2023 12:50PM,1
22F,A&O SCI,2       ,1     ,A  ,45,261,"LI, QINBIN",01,Air Pollution,270,0002    , 001  ,Aug 16 2023 12:50PM,1
22F,A&O SCI,2       ,1     ,A- ,10,261,"LI, QINBIN",01,Air Pollution,270,0002    , 001  ,Aug 16 2023 12:50PM,1
22F,A&O SCI,2       ,1     ,B+ ,8,261,"LI, QINBIN",01,Air Pollution,270,0002    , 001  ,Aug 16 2023 12:50PM,1
22F,A&O SCI,2       ,1     ,B  ,2,261,"LI, QINBIN",01,Air Pollution,270,0002    , 001  ,Aug 16 2023 12:50PM,1
22F,A&O SCI,2       ,1     ,B- ,1,261,"LI, QINBIN",01,Air Pollution,270,0002    , 001  ,Aug 16 2023 12:50PM,1
22F,A&O SCI,2       ,1     ,C+ ,2,261,"LI, QINBIN",01,Air Pollution,270,0002    , 001  ,Aug 16 2023 12:50PM,1
22F,A&O SCI,2       ,1     ,NP ,1,261,"LI, QINBIN",01,Air Pollution,270,0002    , 001  ,Aug 16 2023 12:50PM,1
22F,A&O SCI,2       ,1     ,P  ,8,261,"LI, QINBIN",01,Air Pollution,270,0002    , 001  ,Aug 16 2023 12:50PM,1
22F,A&O SCI,2L      ,1     ,A+ ,38,49,"LI, QINBIN",01,Air Pollution Laboratory,270,0002L   , 001  ,Aug 16 2023 12:50PM,1
22F,A&O SCI,2L      ,1     ,A  ,2,49,"LI, QINBIN",01,Air Pollution Laboratory,270,0002L   , 001  ,Aug 16 2023 12:50PM,1
22F,A&O SCI,2L      ,1     ,A- ,1,49,"LI, QINBIN",01,Air Pollution Laboratory,270,0002L   , 001  ,Aug 16 2023 12:50PM,1
22F,A&O SCI,2L      ,1     ,B- ,1,49,"LI, QINBIN",01,Air Pollution Laboratory,270,0002L   , 001  ,Aug 16 2023 12:50PM,1
22F,A&O SCI,2L      ,1     ,C- ,1,49,"LI, QINBIN",01,Air Pollution Laboratory,270,0002L   , 001  ,Aug 16 2023 12:50PM,1
22F,A&O SCI,2L      ,1     ,D+ ,1,49,"LI, QINBIN",01,Air Pollution Laboratory,270,0002L   , 001  ,Aug 16 2023 12:50PM,1
22F,A&O SCI,2L      ,1     ,D  ,1,49,"LI, QINBIN",01,Air Pollution Laboratory,270,0002L   , 001  ,Aug 16 2023 12:50PM,1
22F,A&O SCI,2L      ,1     ,F  ,1,49,"LI, QINBIN",01,Air Pollution Laboratory,270,0002L   , 001  ,Aug 16 2023 12:50PM,1
22F,A&O SCI,2L      ,1     ,P  ,3,49,"LI, QINBIN",01,Air Pollution Laboratory,270,0002L   , 001  ,Aug 16 2023 12:50PM,1
22F,A&O SCI,3       ,1     ,A+ ,13,110,"CHAMECKI, MARCELO",01,Meteorology and Extreme Weather,270,0003    , 001  ,Aug 16 2023 12:50PM,1
22F,A&O SCI,3       ,1     ,A  ,38,110,"CHAMECKI, MARCELO",01,Meteorology and Extreme Weather,270,0003    , 001  ,Aug 16 2023 12:50PM,1
22F,A&O SCI,3       ,1     ,A- ,12,110,"CHAMECKI, MARCELO",01,Meteorology and Extreme Weather,270,0003    , 001  ,Aug 16 2023 12:50PM,1
22F,A&O SCI,3       ,1     ,B+ ,7,110,"CHAMECKI, MARCELO",01,Meteorology and Extreme Weather,270,0003    , 001  ,Aug 16 2023 12:50PM,1
22F,A&O SCI,3       ,1     ,B  ,8,110,"CHAMECKI, MARCELO",01,Meteorology and Extreme Weather,270,0003    , 001  ,Aug 16 2023 12:50PM,1
22F,A&O SCI,3       ,1     ,B- ,4,110,"CHAMECKI, MARCELO",01,Meteorology and Extreme Weather,270,0003    , 001  ,Aug 16 2023 12:50PM,1
22F,A&O SCI,3       ,1     ,C+ ,4,110,"CHAMECKI, MARCELO",01,Meteorology and Extreme Weather,270,0003    , 001  ,Aug 16 2023 12:50PM,1
22F,A&O SCI,3       ,1     ,C  ,1,110,"CHAMECKI, MARCELO",01,Meteorology and Extreme Weather,270,0003    , 001  ,Aug 16 2023 12:50PM,1
22F,A&O SCI,3       ,1     ,C- ,1,110,"CHAMECKI, MARCELO",01,Meteorology and Extreme Weather,270,0003    , 001  ,Aug 16 2023 12:50PM,1
22F,A&O SCI,3       ,1     ,D+ ,2,110,"CHAMECKI, MARCELO",01,Meteorology and Extreme Weather,270,0003    , 001  ,Aug 16 2023 12:50PM,1
22F,A&O SCI,3       ,1     ,D- ,1,110,"CHAMECKI, MARCELO",01,Meteorology and Extreme Weather,270,0003    , 001  ,Aug 16 2023 12:50PM,1
22F,A&O SCI,3       ,1     ,F  ,5,110,"CHAMECKI, MARCELO",01,Meteorology and Extreme Weather,270,0003    , 001  ,Aug 16 2023 12:50PM,1
22F,A&O SCI,3       ,1     ,I  ,1,110,"CHAMECKI, MARCELO",01,Meteorology and Extreme Weather,270,0003    , 001  ,Aug 16 2023 12:50PM,1
22F,A&O SCI,3       ,1     ,NP ,3,110,"CHAMECKI, MARCELO",01,Meteorology and Extreme Weather,270,0003    , 001  ,Aug 16 2023 12:50PM,1
22F,A&O SCI,3       ,1     ,P  ,10,110,"CHAMECKI, MARCELO",01,Meteorology and Extreme Weather,270,0003    , 001  ,Aug 16 2023 12:50PM,1
22F,A&O SCI,3L      ,1     ,A+ ,4,26,"CHAMECKI, MARCELO",01,Meteorology and Extreme Weather Laboratory,270,0003L   , 001  ,Aug 16 2023 12:50PM,1
22F,A&O SCI,3L      ,1     ,A  ,14,26,"CHAMECKI, MARCELO",01,Meteorology and Extreme Weather Laboratory,270,0003L   , 001  ,Aug 16 2023 12:50PM,1
22F,A&O SCI,3L      ,1     ,A- ,1,26,"CHAMECKI, MARCELO",01,Meteorology and Extreme Weather Laboratory,270,0003L   , 001  ,Aug 16 2023 12:50PM,1
22F,A&O SCI,3L      ,1     ,B+ ,1,26,"CHAMECKI, MARCELO",01,Meteorology and Extreme Weather Laboratory,270,0003L   , 001  ,Aug 16 2023 12:50PM,1
22F,A&O SCI,3L      ,1     ,B  ,1,26,"CHAMECKI, MARCELO",01,Meteorology and Extreme Weather Laboratory,270,0003L   , 001  ,Aug 16 2023 12:50PM,1
22F,A&O SCI,3L      ,1     ,F  ,1,26,"CHAMECKI, MARCELO",01,Meteorology and Extreme Weather Laboratory,270,0003L   , 001  ,Aug 16 2023 12:50PM,1
22F,A&O SCI,3L      ,1     ,P  ,4,26,"CHAMECKI, MARCELO",01,Meteorology and Extreme Weather Laboratory,270,0003L   , 001  ,Aug 16 2023 12:50PM,1
22F,A&O SCI,51      ,1     ,A  ,4,12,"HALL, ALEXANDER DEAN",01,Fundamentals of Climate Science,270,0051    , 001  ,Aug 16 2023 12:50PM,1
22F,A&O SCI,51      ,1     ,A- ,2,12,"HALL, ALEXANDER DEAN",01,Fundamentals of Climate Science,270,0051    , 001  ,Aug 16 2023 12:50PM,1
22F,A&O SCI,51      ,1     ,B+ ,1,12,"HALL, ALEXANDER DEAN",01,Fundamentals of Climate Science,270,0051    , 001  ,Aug 16 2023 12:50PM,1
22F,A&O SCI,51      ,1     ,B  ,1,12,"HALL, ALEXANDER DEAN",01,Fundamentals of Climate Science,270,0051    , 001  ,Aug 16 2023 12:50PM,1
22F,A&O SCI,51      ,1     ,B- ,2,12,"HALL, ALEXANDER DEAN",01,Fundamentals of Climate Science,270,0051    , 001  ,Aug 16 2023 12:50PM,1
22F,A&O SCI,51      ,1     ,C+ ,1,12,"HALL, ALEXANDER DEAN",01,Fundamentals of Climate Science,270,0051    , 001  ,Aug 16 2023 12:50PM,1
22F,A&O SCI,51      ,1     ,P  ,1,12,"HALL, ALEXANDER DEAN",01,Fundamentals of Climate Science,270,0051    , 001  ,Aug 16 2023 12:50PM,1
22F,A&O SCI,M71     ,1     ,A+ ,4,12,"AURNOU, JONATHAN M",01,Introduction to Computing for Geoscientists,270,0071  M , 001  ,Aug 16 2023 12:50PM,1
22F,A&O SCI,M71     ,1     ,A  ,2,12,"AURNOU, JONATHAN M",01,Introduction to Computing for Geoscientists,270,0071  M , 001  ,Aug 16 2023 12:50PM,1
22F,A&O SCI,M71     ,1     ,B+ ,1,12,"AURNOU, JONATHAN M",01,Introduction to Computing for Geoscientists,270,0071  M , 001  ,Aug 16 2023 12:50PM,1
22F,A&O SCI,M71     ,1     ,B  ,2,12,"AURNOU, JONATHAN M",01,Introduction to Computing for Geoscientists,270,0071  M , 001  ,Aug 16 2023 12:50PM,1
22F,A&O SCI,M71     ,1     ,D  ,3,12,"AURNOU, JONATHAN M",01,Introduction to Computing for Geoscientists,270,0071  M , 001  ,Aug 16 2023 12:50PM,1
22F,A&O SCI,101     ,1     ,A+ ,4,34,"KOK, JASPER F",01,Fundamentals of Atmospheric Dynamics and Thermodynamics,270,0101    , 001  ,Aug 16 2023 12:50PM,1
22F,A&O SCI,101     ,1     ,A  ,4,34,"KOK, JASPER F",01,Fundamentals of Atmospheric Dynamics and Thermodynamics,270,0101    , 001  ,Aug 16 2023 12:50PM,1
22F,A&O SCI,101     ,1     ,A- ,6,34,"KOK, JASPER F",01,Fundamentals of Atmospheric Dynamics and Thermodynamics,270,0101    , 001  ,Aug 16 2023 12:50PM,1
22F,A&O SCI,101     ,1     ,B+ ,6,34,"KOK, JASPER F",01,Fundamentals of Atmospheric Dynamics and Thermodynamics,270,0101    , 001  ,Aug 16 2023 12:50PM,1
22F,A&O SCI,101     ,1     ,B  ,7,34,"KOK, JASPER F",01,Fundamentals of Atmospheric Dynamics and Thermodynamics,270,0101    , 001  ,Aug 16 2023 12:50PM,1
22F,A&O SCI,101     ,1     ,B- ,2,34,"KOK, JASPER F",01,Fundamentals of Atmospheric Dynamics and Thermodynamics,270,0101    , 001  ,Aug 16 2023 12:50PM,1
22F,A&O SCI,101     ,1     ,C+ ,2,34,"KOK, JASPER F",01,Fundamentals of Atmospheric Dynamics and Thermodynamics,270,0101    , 001  ,Aug 16 2023 12:50PM,1
22F,A&O SCI,101     ,1     ,C  ,2,34,"KOK, JASPER F",01,Fundamentals of Atmospheric Dynamics and Thermodynamics,270,0101    , 001  ,Aug 16 2023 12:50PM,1
22F,A&O SCI,101     ,1     ,D  ,1,34,"KOK, JASPER F",01,Fundamentals of Atmospheric Dynamics and Thermodynamics,270,0101    , 001  ,Aug 16 2023 12:50PM,1
22F,A&O SCI,103     ,1     ,A+ ,8,78,"STEWART, ANDREW LESLIE",01,Physical Oceanography,270,0103    , 001  ,Aug 16 2023 12:50PM,1
22F,A&O SCI,103     ,1     ,A  ,13,78,"STEWART, ANDREW LESLIE",01,Physical Oceanography,270,0103    , 001  ,Aug 16 2023 12:50PM,1
22F,A&O SCI,103     ,1     ,A- ,18,78,"STEWART, ANDREW LESLIE",01,Physical Oceanography,270,0103    , 001  ,Aug 16 2023 12:50PM,1
22F,A&O SCI,103     ,1     ,B+ ,8,78,"STEWART, ANDREW LESLIE",01,Physical Oceanography,270,0103    , 001  ,Aug 16 2023 12:50PM,1
22F,A&O SCI,103     ,1     ,B  ,12,78,"STEWART, ANDREW LESLIE",01,Physical Oceanography,270,0103    , 001  ,Aug 16 2023 12:50PM,1
22F,A&O SCI,103     ,1     ,B- ,6,78,"STEWART, ANDREW LESLIE",01,Physical Oceanography,270,0103    , 001  ,Aug 16 2023 12:50PM,1
22F,A&O SCI,103     ,1     ,C+ ,5,78,"STEWART, ANDREW LESLIE",01,Physical Oceanography,270,0103    , 001  ,Aug 16 2023 12:50PM,1
22F,A&O SCI,103     ,1     ,C  ,4,78,"STEWART, ANDREW LESLIE",01,Physical Oceanography,270,0103    , 001  ,Aug 16 2023 12:50PM,1
22F,A&O SCI,103     ,1     ,C- ,2,78,"STEWART, ANDREW LESLIE",01,Physical Oceanography,270,0103    , 001  ,Aug 16 2023 12:50PM,1
22F,A&O SCI,103     ,1     ,D+ ,2,78,"STEWART, ANDREW LESLIE",01,Physical Oceanography,270,0103    , 001  ,Aug 16 2023 12:50PM,1
22F,A&O SCI,112     ,1     ,A  ,13,20,"NEELIN, JAMES DAVID",01,Climate Change Assessment,270,0112    , 001  ,Aug 16 2023 12:50PM,1
22F,A&O SCI,112     ,1     ,A- ,6,20,"NEELIN, JAMES DAVID",01,Climate Change Assessment,270,0112    , 001  ,Aug 16 2023 12:50PM,1
22F,A&O SCI,112     ,1     ,B+ ,1,20,"NEELIN, JAMES DAVID",01,Climate Change Assessment,270,0112    , 001  ,Aug 16 2023 12:50PM,1
22F,A&O SCI,121     ,1     ,A  ,18,18,"SEIBT, ULRIKE",01,Climate Mitigation Solutions,270,0121    , 001  ,Aug 16 2023 12:50PM,1
22F,A&O SCI,141     ,1     ,A+ ,28,36,"LI, QINBIN",01,Introduction to Atmospheric Chemistry and Air Pollution,270,0141    , 001  ,Aug 16 2023 12:50PM,1
22F,A&O SCI,141     ,1     ,A  ,5,36,"LI, QINBIN",01,Introduction to Atmospheric Chemistry and Air Pollution,270,0141    , 001  ,Aug 16 2023 12:50PM,1
22F,A&O SCI,141     ,1     ,A- ,3,36,"LI, QINBIN",01,Introduction to Atmospheric Chemistry and Air Pollution,270,0141    , 001  ,Aug 16 2023 12:50PM,1
22F,A&O SCI,C160    ,1     ,A+ ,8,13,"STUTZ, JOCHEN PETER",01,Remote Sensing of Atmosphere and Oceans,270,0160  C , 001  ,Aug 16 2023 12:50PM,1
22F,A&O SCI,C160    ,1     ,A  ,1,13,"STUTZ, JOCHEN PETER",01,Remote Sensing of Atmosphere and Oceans,270,0160  C , 001  ,Aug 16 2023 12:50PM,1
22F,A&O SCI,C160    ,1     ,A- ,3,13,"STUTZ, JOCHEN PETER",01,Remote Sensing of Atmosphere and Oceans,270,0160  C , 001  ,Aug 16 2023 12:50PM,1
22F,A&O SCI,C160    ,1     ,B  ,1,13,"STUTZ, JOCHEN PETER",01,Remote Sensing of Atmosphere and Oceans,270,0160  C , 001  ,Aug 16 2023 12:50PM,1
22F,A&O SCI,200A    ,1     ,A+ ,7,17,"MITCHELL, JONATHAN LLOYD",01,Introduction to Atmospheric and Oceanic Fluid,270,0200A   , 001  ,Aug 16 2023 12:50PM,1
22F,A&O SCI,200A    ,1     ,A  ,6,17,"MITCHELL, JONATHAN LLOYD",01,Introduction to Atmospheric and Oceanic Fluid,270,0200A   , 001  ,Aug 16 2023 12:50PM,1
22F,A&O SCI,200A    ,1     ,A- ,2,17,"MITCHELL, JONATHAN LLOYD",01,Introduction to Atmospheric and Oceanic Fluid,270,0200A   , 001  ,Aug 16 2023 12:50PM,1
22F,A&O SCI,200A    ,1     ,C  ,1,17,"MITCHELL, JONATHAN LLOYD",01,Introduction to Atmospheric and Oceanic Fluid,270,0200A   , 001  ,Aug 16 2023 12:50PM,1
22F,A&O SCI,200A    ,1     ,I  ,1,17,"MITCHELL, JONATHAN LLOYD",01,Introduction to Atmospheric and Oceanic Fluid,270,0200A   , 001  ,Aug 16 2023 12:50PM,1
22F,A&O SCI,200B    ,1     ,A+ ,1,18,"CHEN, GANG",01,Introduction to Dynamics of Earth System,270,0200B   , 001  ,Aug 16 2023 12:50PM,1
22F,A&O SCI,200B    ,1     ,A  ,8,18,"CHEN, GANG",01,Introduction to Dynamics of Earth System,270,0200B   , 001  ,Aug 16 2023 12:50PM,1
22F,A&O SCI,200B    ,1     ,A- ,5,18,"CHEN, GANG",01,Introduction to Dynamics of Earth System,270,0200B   , 001  ,Aug 16 2023 12:50PM,1
22F,A&O SCI,200B    ,1     ,B+ ,3,18,"CHEN, GANG",01,Introduction to Dynamics of Earth System,270,0200B   , 001  ,Aug 16 2023 12:50PM,1
22F,A&O SCI,200B    ,1     ,B- ,1,18,"CHEN, GANG",01,Introduction to Dynamics of Earth System,270,0200B   , 001  ,Aug 16 2023 12:50PM,1
22F,A&O SCI,200C    ,1     ,A  ,8,16,"STUTZ, JOCHEN PETER",01,"Introduction to Atmospheric and Oceanic Radiation, Physics, and Chemistry",270,0200C   , 001  ,Aug 16 2023 12:50PM,1
22F,A&O SCI,200C    ,1     ,A- ,4,16,"STUTZ, JOCHEN PETER",01,"Introduction to Atmospheric and Oceanic Radiation, Physics, and Chemistry",270,0200C   , 001  ,Aug 16 2023 12:50PM,1
22F,A&O SCI,200C    ,1     ,B+ ,1,16,"STUTZ, JOCHEN PETER",01,"Introduction to Atmospheric and Oceanic Radiation, Physics, and Chemistry",270,0200C   , 001  ,Aug 16 2023 12:50PM,1
22F,A&O SCI,200C    ,1     ,B  ,1,16,"STUTZ, JOCHEN PETER",01,"Introduction to Atmospheric and Oceanic Radiation, Physics, and Chemistry",270,0200C   , 001  ,Aug 16 2023 12:50PM,1
22F,A&O SCI,200C    ,1     ,C+ ,1,16,"STUTZ, JOCHEN PETER",01,"Introduction to Atmospheric and Oceanic Radiation, Physics, and Chemistry",270,0200C   , 001  ,Aug 16 2023 12:50PM,1
22F,A&O SCI,200C    ,1     ,I  ,1,16,"STUTZ, JOCHEN PETER",01,"Introduction to Atmospheric and Oceanic Radiation, Physics, and Chemistry",270,0200C   , 001  ,Aug 16 2023 12:50PM,1
22F,A&O SCI,C240B   ,1     ,A+ ,4,11,"STUTZ, JOCHEN PETER",01,Remote Sensing of Atmosphere and Oceans,270,0240B C , 001  ,Aug 16 2023 12:50PM,1
22F,A&O SCI,C240B   ,1     ,A  ,5,11,"STUTZ, JOCHEN PETER",01,Remote Sensing of Atmosphere and Oceans,270,0240B C , 001  ,Aug 16 2023 12:50PM,1
22F,A&O SCI,C240B   ,1     ,I  ,1,11,"STUTZ, JOCHEN PETER",01,Remote Sensing of Atmosphere and Oceans,270,0240B C , 001  ,Aug 16 2023 12:50PM,1
22F,A&O SCI,C240B   ,1     ,S  ,1,11,"STUTZ, JOCHEN PETER",01,Remote Sensing of Atmosphere and Oceans,270,0240B C , 001  ,Aug 16 2023 12:50PM,1
22F,A&O SCI,270     ,1     ,A  ,3,61,"SAIDE PERALTA, PABLO",01,Seminar: Atmospheric Sciences,270,0270    , 001  ,Aug 16 2023 12:50PM,1
22F,A&O SCI,270     ,1     ,S  ,58,61,"SAIDE PERALTA, PABLO",01,Seminar: Atmospheric Sciences,270,0270    , 001  ,Aug 16 2023 12:50PM,1
22F,A&O SCI,271     ,1     ,S  ,15,15,"MITCHELL, JONATHAN LLOYD",01,Seminar: Atmospheric Dynamics,270,0271    , 001  ,Aug 16 2023 12:50PM,1
22F,AERO ST,A       ,1     ,P  ,40,41,"NUUHIWA, KEKAIKUIMAULOA",01,Leadership Laboratory,270,0000A   , 001  ,Aug 16 2023 12:50PM,1
22F,AERO ST,A       ,1     ,R  ,1,41,"NUUHIWA, KEKAIKUIMAULOA",01,Leadership Laboratory,270,0000A   , 001  ,Aug 16 2023 12:50PM,1
22F,AERO ST,1A      ,1     ,A  ,14,16,"MALONE, MORGAN B",01,Heritage and Values,270,0001A   , 001  ,Aug 16 2023 12:50PM,1
22F,AERO ST,1A      ,1     ,A- ,1,16,"MALONE, MORGAN B",01,Heritage and Values,270,0001A   , 001  ,Aug 16 2023 12:50PM,1
22F,AERO ST,1A      ,1     ,NR ,1,16,"MALONE, MORGAN B",01,Heritage and Values,270,0001A   , 001  ,Aug 16 2023 12:50PM,1
22F,AERO ST,20A     ,1     ,A  ,12,13,"EVERHART, ROBERT",01,Team and Leadership Fundamentals,270,0020A   , 001  ,Aug 16 2023 12:50PM,1
22F,AERO ST,20A     ,1     ,I  ,1,13,"EVERHART, ROBERT",01,Team and Leadership Fundamentals,270,0020A   , 001  ,Aug 16 2023 12:50PM,1
22F,AERO ST,140A    ,1     ,A  ,9,13,"ALLISON, MAE-LI A",01,National Security Affairs/Preparation for Active Duty,270,0140A   , 001  ,Aug 16 2023 12:50PM,1
22F,AERO ST,140A    ,1     ,A- ,3,13,"ALLISON, MAE-LI A",01,National Security Affairs/Preparation for Active Duty,270,0140A   , 001  ,Aug 16 2023 12:50PM,1
22F,AERO ST,140A    ,1     ,B  ,1,13,"ALLISON, MAE-LI A",01,National Security Affairs/Preparation for Active Duty,270,0140A   , 001  ,Aug 16 2023 12:50PM,1
22F,AF AMER,1       ,1     ,A+ ,40,173,"EDU, UGO FELICIA",01,Introduction to Black Studies,270,0001    , 001  ,Aug 16 2023 12:50PM,1
22F,AF AMER,1       ,1     ,A  ,52,173,"EDU, UGO FELICIA",01,Introduction to Black Studies,270,0001    , 001  ,Aug 16 2023 12:50PM,1
22F,AF AMER,1       ,1     ,A- ,21,173,"EDU, UGO FELICIA",01,Introduction to Black Studies,270,0001    , 001  ,Aug 16 2023 12:50PM,1
22F,AF AMER,1       ,1     ,B+ ,16,173,"EDU, UGO FELICIA",01,Introduction to Black Studies,270,0001    , 001  ,Aug 16 2023 12:50PM,1
22F,AF AMER,1       ,1     ,B  ,12,173,"EDU, UGO FELICIA",01,Introduction to Black Studies,270,0001    , 001  ,Aug 16 2023 12:50PM,1
22F,AF AMER,1       ,1     ,B- ,7,173,"EDU, UGO FELICIA",01,Introduction to Black Studies,270,0001    , 001  ,Aug 16 2023 12:50PM,1
22F,AF AMER,1       ,1     ,C+ ,1,173,"EDU, UGO FELICIA",01,Introduction to Black Studies,270,0001    , 001  ,Aug 16 2023 12:50PM,1
22F,AF AMER,1       ,1     ,C  ,2,173,"EDU, UGO FELICIA",01,Introduction to Black Studies,270,0001    , 001  ,Aug 16 2023 12:50PM,1
22F,AF AMER,1       ,1     ,C- ,6,173,"EDU, UGO FELICIA",01,Introduction to Black Studies,270,0001    , 001  ,Aug 16 2023 12:50PM,1
22F,AF AMER,1       ,1     ,D+ ,1,173,"EDU, UGO FELICIA",01,Introduction to Black Studies,270,0001    , 001  ,Aug 16 2023 12:50PM,1
22F,AF AMER,1       ,1     ,D  ,1,173,"EDU, UGO FELICIA",01,Introduction to Black Studies,270,0001    , 001  ,Aug 16 2023 12:50PM,1
22F,AF AMER,1       ,1     ,F  ,5,173,"EDU, UGO FELICIA",01,Introduction to Black Studies,270,0001    , 001  ,Aug 16 2023 12:50PM,1
22F,AF AMER,1       ,1     ,NP ,1,173,"EDU, UGO FELICIA",01,Introduction to Black Studies,270,0001    , 001  ,Aug 16 2023 12:50PM,1
22F,AF AMER,1       ,1     ,P  ,8,173,"EDU, UGO FELICIA",01,Introduction to Black Studies,270,0001    , 001  ,Aug 16 2023 12:50PM,1
22F,AF AMER,M104A   ,1     ,A  ,5,32,"YARBOROUGH, RICHARD A",01,Early African American Literature,270,0104A M , 001  ,Aug 16 2023 12:50PM,1
22F,AF AMER,M104A   ,1     ,A- ,14,32,"YARBOROUGH, RICHARD A",01,Early African American Literature,270,0104A M , 001  ,Aug 16 2023 12:50PM,1
22F,AF AMER,M104A   ,1     ,B+ ,6,32,"YARBOROUGH, RICHARD A",01,Early African American Literature,270,0104A M , 001  ,Aug 16 2023 12:50PM,1
22F,AF AMER,M104A   ,1     ,B  ,4,32,"YARBOROUGH, RICHARD A",01,Early African American Literature,270,0104A M , 001  ,Aug 16 2023 12:50PM,1
22F,AF AMER,M104A   ,1     ,C- ,2,32,"YARBOROUGH, RICHARD A",01,Early African American Literature,270,0104A M , 001  ,Aug 16 2023 12:50PM,1
22F,AF AMER,M104A   ,1     ,F  ,1,32,"YARBOROUGH, RICHARD A",01,Early African American Literature,270,0104A M , 001  ,Aug 16 2023 12:50PM,1
22F,AF AMER,110B    ,1     ,A+ ,28,32,"EDU, UGO FELICIA",01,Reproducing While Black: Politics of Black Reproduction,270,0110B   , 001  ,Aug 16 2023 12:50PM,1
22F,AF AMER,110B    ,1     ,A  ,1,32,"EDU, UGO FELICIA",01,Reproducing While Black: Politics of Black Reproduction,270,0110B   , 001  ,Aug 16 2023 12:50PM,1
